node,nf_degree_centrality,nf_closeness_centrality,nf_pagerank,nf_load_centrality,nf_average_neighbor_degree,nf_eigenvector_centrality,nf_harmonic_centrality,nf_betweenness_centrality,nf_hub_score,nf_constraint,nf_coreness,nf_eccentricity
0,0.0107005350267513,0.4731475347780827,7.99493910800762e-05,3.748563953429018e-05,921.2056074766356,0.0126113441298596,0.4847075687118433,8911.837197236413,0.1080253876961403,0.0052775365386113,122,4.0
17919,0.0619030951547577,0.4914362943850596,0.0004966333047815,0.0017563253589157,214.1631663974152,0.0277139556237735,0.4237378535592427,1088.7825196413835,0.0105394255724087,0.0495269534521173,22,4.0
15825,0.0638531926596329,0.4898234098312474,0.0004821002977676,0.0013958354003347,244.7916992952232,0.0344111703725269,0.4471223561178093,668.9097876435222,0.0292190709787852,0.0221434440047696,46,4.0
5692,0.2023601180059002,0.5464207650273224,0.0016332059717519,0.0266498121835135,164.70669631826044,0.0749262730047528,0.4721819424305301,90312.55845788264,0.2038737936352425,0.0023137300784628,129,4.0
12883,0.2269113455672783,0.5550036077038353,0.0021284498173598,0.0296426244070647,129.61899515204937,0.0663050685004648,0.4384260879710268,11879.59345412776,0.0247550628049988,0.0137293643109499,55,4.0
17842,0.0617530876543827,0.497821920195156,0.0005002204125755,0.0014804234065541,246.9684210526316,0.0282930589569166,0.433179992332891,81.5858723218976,0.0159586543749114,0.0447643432182036,23,4.0
11205,0.0397019850992549,0.4800412856148436,0.0003064666920641,0.0006150010667618,306.0994962216625,0.0219898520602111,0.4215669116788025,2871.9842663217823,0.0179184238637137,0.0138341777019072,64,4.0
12059,0.2090604530226511,0.5514227418109628,0.0017260956638102,0.0179245984499168,179.83879454675915,0.0819306321729088,0.4342650465856076,207.2436612248696,0.0266933598303163,0.0237051110890158,43,5.0
1910,0.0454522726136306,0.4777477843338668,0.0003556348984304,0.0005643135143172,232.22442244224425,0.0212701165977059,0.3957297864891601,43.74356971354341,0.0079355857663955,0.0670382950427647,15,5.0
1484,0.1238061903095154,0.5139281492521971,0.0010786980808045,0.0069299493027581,151.1627625201939,0.0417237045573564,0.4814407387036919,14789.59729101305,0.1034889002722058,0.0045755891310751,125,4.0
19376,0.2784139206960347,0.5743538196438829,0.0024324106946906,0.0357761450332628,148.15445402298852,0.092838210831363,0.3670858542926165,362.6038167687753,0.0034146242448348,0.0628977649417424,14,5.0
7155,0.0360018000900045,0.479419872947381,0.0002807252302671,0.0003739065182091,300.8611111111111,0.0194637387824445,0.4440347017350675,9802.012323595822,0.0609210037183729,0.0059802677689676,122,4.0
10760,0.0098504925246262,0.3975707214281454,9.016170574823829e-05,0.000101630378223,170.2994923857868,0.003771873492775,0.4414987416037254,285.0424033706739,0.0174856228560547,0.0319349709328656,32,5.0
19073,0.0333516675833791,0.4758494337108594,0.0002772270442087,0.000734867928014,268.5322338830585,0.0164451875528927,0.387463539843514,213.74454520775095,0.0070965962819022,0.0397519830603574,25,5.0
8101,0.0145007250362518,0.4161776334956507,0.0001181963040483,8.87684034550868e-05,190.43793103448277,0.00598715104973,0.4663316499159123,14249.746033382791,0.0605080631794251,0.0054679249362729,106,4.0
4291,0.0255512775638781,0.4667646921532932,0.0001961210358292,0.0003260869234637,282.4696673189824,0.0143036412130681,0.4476890511192293,609.7178161431902,0.0223195910453579,0.0303818177600782,33,4.0
9433,0.0232511625581279,0.4512307935290269,0.0001884917424012,0.0003176800809985,215.42150537634407,0.0105366780807457,0.4224727903060723,6819.990571251388,0.0151311314772071,0.0302563757708142,35,5.0
15224,0.0693534676733836,0.4957856115821309,0.0005310646002536,0.0020219795666227,243.7267483777938,0.0343852339871506,0.4345842292114071,1402.9938913559265,0.0142751781843452,0.0250908144555745,37,4.0
8344,0.0833541677083854,0.5031321542680319,0.000628709262253,0.0025348282533739,247.9418116376725,0.0453852331770372,0.4291214560727228,9012.919804586212,0.0178988745789723,0.0139809368554148,59,4.0
1931,0.0743037151857592,0.4899914247213034,0.0005782510510226,0.0024199940402079,200.278600269179,0.0338855522327544,0.4572686967682099,10150.157478509194,0.0964167999129931,0.0047753569096382,129,4.0
10804,0.1233561678083904,0.5167967336813272,0.0008694015034907,0.0047951877687356,241.49533846777464,0.0653721407520583,0.3429046452321816,334.9983591377429,0.001907702360135,0.0689746692321687,15,5.0
7773,0.0176008800440022,0.4120107128141739,0.000139771465846,0.0001546841299244,174.03125,0.0069073274904501,0.4342675467106105,4578.298807952912,0.0279707335967222,0.0103190439202309,78,4.0
7353,0.0551027551377568,0.4722648593761069,0.0004462775610187,0.001710278584351,162.1551724137931,0.0213893280251478,0.4662483124157063,8086.787336957039,0.0556626048971417,0.0073181434075902,108,4.0
11079,0.0092504625231261,0.4069138113453243,8.424544213945504e-05,9.556200618357834e-05,188.28108108108108,0.0035642051077927,0.4404053536009826,4157.627082666704,0.0401382546970155,0.0096707180162719,96,4.0
14364,0.0957547877393869,0.5079627136725,0.0007540024826843,0.0032934189401857,223.6966057441253,0.0471566126470424,0.3451897594878911,268.16047432820966,0.0013676527374979,0.0422439416689428,31,5.0
14823,0.0667533376668833,0.4962654160152857,0.0004607409271445,0.0012709006837509,324.7101123595506,0.0462407440749098,0.4404320216010493,1199.094974097054,0.0520873156122491,0.0099555059413443,101,5.0
7634,0.3293164658232911,0.589975809782288,0.0025798299920087,0.0640347055429014,161.71819010021258,0.1167858307656524,0.4576228811441084,481.07879001125264,0.0371742286542737,0.0200078467414346,52,4.0
11729,0.2841642082104105,0.5769386106623586,0.0026360614746095,0.0542348757180599,143.67974661270455,0.0871270717813858,0.4064594896409794,1022.7023955547928,0.0104803454567207,0.0240208151655941,37,5.0
8813,0.1011550577528876,0.5146290625562904,0.0007859240425471,0.0036609247259125,261.67424616905583,0.0537975811071381,0.4788572761972414,16329.761161357766,0.0937164064904628,0.005148533043423,120,4.0
10947,0.0511025551277563,0.4896914789422135,0.0003932820242052,0.0012697764935948,297.9187866927593,0.0297417643597931,0.4521267730053424,1012.5286542609256,0.0357365162570073,0.0160690216367563,62,4.0
14626,0.016250812540627,0.4455211744525384,0.0001203678633237,5.954821011399386e-05,370.82153846153847,0.0111902692391539,0.417155857792755,1171.1692951837504,0.0247018453275633,0.0142716047729384,68,5.0
17533,0.240562028101405,0.5629239733160695,0.001986943063842,0.0242101407622782,173.57846601538142,0.0950082160807481,0.3918712602295225,2.211445429745685,0.0043919315318187,0.1435406141731664,7,5.0
14617,0.0527526376318815,0.4808607838422697,0.0004164462622567,0.0009738169315249,206.70047393364928,0.0231668439710742,0.4356009467139528,1691.998655734192,0.0214004638448112,0.0186737529947245,54,4.0
